[2018-08-25 23:27:51] [INFO   ] discord.client: logging in using static token
[2018-08-25 23:29:55] [INFO   ] __main__: 2018-08-25 20:29:56.702000: Snoggyy in #paskalaari (Autismin aarrearkku): .emboss
[2018-08-25 23:29:55] [INFO   ] cogs.stats: 2018-08-25 20:29:56.702000: Snoggyy#2110 in #paskalaari (Autismin aarrearkku): .emboss
[2018-08-25 23:30:00] [INFO   ] __main__: 2018-08-25 20:30:01.130000: iWeeti in #testing-1 (Discord Bot List): -.emboss
[2018-08-25 23:30:00] [INFO   ] cogs.stats: 2018-08-25 20:30:01.130000: iWeeti#4990 in #testing-1 (Discord Bot List): -.emboss
[2018-08-25 23:30:01] [INFO   ] __main__: 2018-08-25 20:30:02.831000: iWeeti in #testing-1 (Discord Bot List): -.emboss
[2018-08-25 23:30:01] [INFO   ] cogs.stats: 2018-08-25 20:30:02.831000: iWeeti#4990 in #testing-1 (Discord Bot List): -.emboss
[2018-08-25 23:30:03] [INFO   ] __main__: 2018-08-25 20:30:04.403000: lukee in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:03] [INFO   ] cogs.stats: 2018-08-25 20:30:04.403000: lukee#0420 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:06] [INFO   ] __main__: 2018-08-25 20:30:07.481000: lukee in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:06] [INFO   ] cogs.stats: 2018-08-25 20:30:07.481000: lukee#0420 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:17] [INFO   ] __main__: 2018-08-25 20:30:18.322000: DepressedGiraffe in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:17] [INFO   ] cogs.stats: 2018-08-25 20:30:18.322000: DepressedGiraffe#9265 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] __main__: 2018-08-25 20:30:19.011000: DepressedGiraffe in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] cogs.stats: 2018-08-25 20:30:19.011000: DepressedGiraffe#9265 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] __main__: 2018-08-25 20:30:19.249000: DepressedGiraffe in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] cogs.stats: 2018-08-25 20:30:19.249000: DepressedGiraffe#9265 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] __main__: 2018-08-25 20:30:19.406000: DepressedGiraffe in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] cogs.stats: 2018-08-25 20:30:19.406000: DepressedGiraffe#9265 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] __main__: 2018-08-25 20:30:19.682000: DepressedGiraffe in #testing-1 (Discord Bot List): -.edge
